"id","Time","Cell.1","Cell.2","Cell.3","Cell.4","Cell.5","Cell.6","Cell.7","Cell.8","Cell.9","Cell.10","Cell.11","Cell.12","Cell.13","Cell.14","Cell.15","Cell.16","Cell.17","Cell.18","Cell.19","Cell.20","Cell.21","Cell.22","Cell.23","Cell.24","Cell.25","Cell.26","Cell.27","Cell.28","Cell.29","Cell.30","Cell.31","Cell.32"
"Cdc42_S1P",12,1.070998,1.052567,0.9743491,1.014411,1.018614,0.9894462,0.9594241,1.026471,1.00414,1.038079,1.015935,0.9687882,0.99567,1.016954,1.058355,1.022165,1.01559,1.00755,1.026544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cdc42_S1P",12.16667,1.068741,1.046069,0.9653014,1.006341,1.017116,0.9692423,0.9435097,1.023909,1.001885,1.035475,1.017068,0.9649792,0.9945614,1.012876,1.057572,1.028592,1.022337,1.011704,1.032585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cdc42_S1P",12.33333,1.062739,1.040968,0.9628204,1.008291,1.013864,0.980381,0.9548289,1.02398,1.00497,1.035532,1.020818,0.9612794,0.9915804,1.023068,1.063334,1.031331,1.022439,0.9906755,1.013092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cdc42_S1P",12.5,1.073089,1.053946,0.9756448,1.018728,1.009733,0.9745769,0.9594543,1.021679,0.9954681,1.02992,1.016238,0.9584038,0.9822565,1.016152,1.055222,1.01927,1.016697,1.008966,1.023087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cdc42_S1P",12.66667,1.066113,1.04828,0.9680921,1.012598,1.011117,0.9861994,0.9643616,1.026648,0.9966059,1.034315,1.020564,0.9642056,0.996162,1.024512,1.065723,1.025463,1.021131,1.004534,1.019026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cdc42_S1P",12.83333,1.070947,1.048758,0.9743978,1.013526,1.003748,0.9590621,0.948595,1.024838,0.9968503,1.035244,1.020906,0.962181,0.9860097,1.010862,1.058866,1.028735,1.0297,1.002723,1.017784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cdc42_S1P",13,1.06508,1.043159,0.970558,1.00754,1.006246,0.966282,0.9461335,1.018724,0.9931535,1.036364,1.018474,0.9633523,0.9936866,1.014911,1.06257,1.029892,1.024822,1.005586,1.022811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cdc42_S1P",13.16667,1.070906,1.046158,0.9839105,1.012223,1.000276,0.9687973,0.9496504,1.016248,0.9855874,1.031752,1.01541,0.9598144,0.9964058,1.013889,1.057807,1.027877,1.023842,0.9894474,1.009281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cdc42_S1P",13.33333,1.068053,1.037583,0.9613804,0.9900246,1.009753,0.9601592,0.9357062,1.00967,0.9843081,1.028621,1.011632,0.9638248,1.004338,1.018079,1.060689,1.022529,1.019962,1.002086,1.019367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cdc42_S1P",13.5,1.07099,1.037989,0.9501757,0.9898285,1.007697,0.9695281,0.9430067,1.011493,0.9867026,1.030771,1.012008,0.9602628,0.9996087,1.011618,1.055523,1.024885,1.0257,0.9942043,1.016978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
